Municipality,Year,Indy_percent,Unio_percent
Castellfollit del Boix,1984,81.6,14.72
Castellfollit del Boix,1988,89.14,9.71
Castellfollit del Boix,1992,80.56,13.89
Castellfollit del Boix,1995,81.29,17.54
Castellfollit del Boix,1999,71.11,26.67
Castellfollit del Boix,2003,75.27,24.73
Castellfollit del Boix,2006,67.54,30.37
Castellfollit del Boix,2010,70.43,18.28
Castellfollit del Boix,2012,80.79,12.23
Castellfollit del Boix,2015,79.86,15.36
Castellgalí,1980,60.25,33.92
Castellgalí,1984,79.77,14.48
Castellgalí,1988,75.71,20.95
Castellgalí,1992,77.43,21.14
Castellgalí,1995,76.16,23.64
Castellgalí,1999,65.27,31.26
Castellgalí,2003,54.61,43.72
Castellgalí,2006,54.19,44.33
Castellgalí,2010,46.39,41.79
Castellgalí,2012,47.98,44.53
Castellgalí,2015,45.98,50.52
Castellnou de Bages,1980,40.43,36.17
Castellnou de Bages,1984,75.47,18.87
Castellnou de Bages,1988,74.19,25.81
Castellnou de Bages,1992,81.18,17.65
Castellnou de Bages,1995,67.96,31.49
Castellnou de Bages,1999,59.25,37.74
Castellnou de Bages,2003,64.86,34.32
Castellnou de Bages,2006,57.61,40.15
Castellnou de Bages,2010,56.33,33.03
Castellnou de Bages,2012,58.84,35.98
Castellnou de Bages,2015,63.13,33.71
Castellnou de Seana,1980,66.77,15.48
Castellnou de Seana,1984,82.79,14.71
Castellnou de Seana,1988,84.45,12.06
Castellnou de Seana,1992,84.73,13.74
Castellnou de Seana,1995,81.84,17.68
Castellnou de Seana,1999,79.03,19.82
Castellnou de Seana,2003,81.44,16.47
Castellnou de Seana,2006,77.97,19.75
Castellnou de Seana,2010,76.53,16.53
Castellnou de Seana,2012,88.81,9.25
Castellnou de Seana,2015,81.8,15.57
Castelló d'Empúries,1980,36.14,33.02
Castelló d'Empúries,1984,64.68,32.1
Castelló d'Empúries,1988,63.17,28.88
Castelló d'Empúries,1992,63.18,31.3
Castelló d'Empúries,1995,58.24,40.85
Castelló d'Empúries,1999,56.97,41.08
Castelló d'Empúries,2003,57.19,41.83
Castelló d'Empúries,2006,52.56,44.24
Castelló d'Empúries,2010,49.26,35.83
Castelló d'Empúries,2012,59.02,35.59
Castelló d'Empúries,2015,54.24,42.54
Castelló de Farfanya,1980,61.8,11.18
Castelló de Farfanya,1984,89.71,8.61
Castelló de Farfanya,1988,88.33,8.33
Castelló de Farfanya,1992,87.76,11.04
Castelló de Farfanya,1995,81.66,18.34
Castelló de Farfanya,1999,77.88,21.21
Castelló de Farfanya,2003,78.31,20
Castelló de Farfanya,2006,77.21,21.77
Castelló de Farfanya,2010,64.98,21.79
Castelló de Farfanya,2012,80.7,17.41
Castelló de Farfanya,2015,80,15.29
Castellolí,1980,54.65,21.71
Castellolí,1984,80.74,17.62
Castellolí,1988,82.8,13.6
Castellolí,1992,87.35,11.46
Castellolí,1995,80.99,17.96
Castellolí,1999,78.74,19.69
Castellolí,2003,81.76,16.35
Castellolí,2006,78.91,19.05
Castellolí,2010,70.64,15.29
Castellolí,2012,83.43,14.36
Castellolí,2015,86.32,11.69
Castellserà,1980,64.63,14.8
Castellserà,1984,72.81,24.12
Castellserà,1988,70,25.4
Castellserà,1992,66.57,31.7
Castellserà,1995,72.63,27.24
Castellserà,1999,68.81,29.85
Castellserà,2003,70.76,28.81
Castellserà,2006,67.45,32.05
Castellserà,2010,64.1,23.59
Castellserà,2012,77.02,19.03
Castellserà,2015,79.47,16.57
Castellterçol,1980,71,21.77
Castellterçol,1984,77.89,20.24
Castellterçol,1988,73.84,23.29
Castellterçol,1992,77.52,19.93
Castellterçol,1995,75.52,23.85
Castellterçol,1999,67.83,30.51
Castellterçol,2003,74.32,25.23
Castellterçol,2006,67.42,31.5
Castellterçol,2010,62.36,22.11
Castellterçol,2012,76.57,18.69
Castellterçol,2015,78.2,18.73
Castellvell del Camp,1980,53.67,28.45
Castellvell del Camp,1984,77.44,18.11
Castellvell del Camp,1988,72.68,21.91
Castellvell del Camp,1992,78.83,18.24
Castellvell del Camp,1995,73.04,26.29
Castellvell del Camp,1999,68.68,29.43
Castellvell del Camp,2003,66.25,32.51
Castellvell del Camp,2006,63.54,33.94
Castellvell del Camp,2010,57.64,29.77
Castellvell del Camp,2012,66.67,28.86
Castellvell del Camp,2015,63.43,33.24
Castellví de la Marca,1980,38.96,36.79
Castellví de la Marca,1984,67.91,28.82
Castellví de la Marca,1988,73.62,20.68
Castellví de la Marca,1992,73.61,22.58
Castellví de la Marca,1995,73.17,26.28
Castellví de la Marca,1999,74.83,23.16
Castellví de la Marca,2003,75.25,23.77
Castellví de la Marca,2006,71.06,27.36
Castellví de la Marca,2010,65.39,22.72
Castellví de la Marca,2012,77.4,17.9
Castellví de la Marca,2015,76.82,19.44
Castellví de Rosanes,1980,81.91,14.07
Castellví de Rosanes,1984,78.85,19.23
Castellví de Rosanes,1988,68.9,26.38
Castellví de Rosanes,1992,77.48,20.72
Castellví de Rosanes,1995,62.24,37.76
Castellví de Rosanes,1999,46.14,51.34
Castellví de Rosanes,2003,49.27,49.13
Castellví de Rosanes,2006,46.67,49.67
Castellví de Rosanes,2010,49.47,42.37
Castellví de Rosanes,2012,49.36,45.75
Castellví de Rosanes,2015,48.75,46.91
"Catllar, el",1980,47.58,38.57
"Catllar, el",1984,65.75,30.72
"Catllar, el",1988,68.16,28.35
"Catllar, el",1992,69.2,27.26
"Catllar, el",1995,65.89,33.44
"Catllar, el",1999,55.52,41.45
"Catllar, el",2003,54.44,44.47
"Catllar, el",2006,49.43,47.62
"Catllar, el",2010,46.57,42.27
"Catllar, el",2012,47.97,45.74
"Catllar, el",2015,47.22,49.41
Cava,1980,69.23,19.23
Cava,1984,88.57,5.71
Cava,1988,85.71,3.57
Cava,1992,90.48,4.76
Cava,1995,90.24,9.76
Cava,1999,86.67,13.33
Cava,2003,75,25
Cava,2006,87.5,12.5
Cava,2010,70.59,8.82
Cava,2012,95.56,4.44
Cava,2015,92.68,2.44
"Cellera de Ter, la",1980,67.97,19.57
"Cellera de Ter, la",1984,83.61,14.7
"Cellera de Ter, la",1988,81.75,14.6
"Cellera de Ter, la",1992,83.52,14.22
"Cellera de Ter, la",1995,80.38,19.06
"Cellera de Ter, la",1999,81.86,16.12
"Cellera de Ter, la",2003,77.88,19.82
"Cellera de Ter, la",2006,73.36,23.77
"Cellera de Ter, la",2010,63.28,16.49
"Cellera de Ter, la",2012,84.55,10.38
"Cellera de Ter, la",2015,87.92,9.86
Celrà,1980,44.73,32.14
Celrà,1984,71.14,20.6
Celrà,1988,66.6,26.99
Celrà,1992,74.46,21.92
Celrà,1995,67.77,31.27
Celrà,1999,67.91,28.96
Celrà,2003,64.65,34.83
Celrà,2006,59.91,38.01
Celrà,2010,52.98,28.55
Celrà,2012,72.1,23.9
Celrà,2015,74.01,23.56
Centelles,1980,47.46,41.61
Centelles,1984,74.5,22.67
Centelles,1988,75.12,22.45
Centelles,1992,73.55,23.48
Centelles,1995,69.75,29.56
Centelles,1999,68.57,30.01
Centelles,2003,66.39,32.4
Centelles,2006,61.88,36.03
Centelles,2010,62.91,24.47
Centelles,2012,71.01,22.55
Centelles,2015,73.86,23.1
Cercs,1980,36.78,48.73
Cercs,1984,55.99,41.72
Cercs,1988,51.09,43.3
Cercs,1992,58.69,39.41
Cercs,1995,57.52,41.98
Cercs,1999,54.83,43.29
Cercs,2003,58.1,41.32
Cercs,2006,56.85,40.55
Cercs,2010,56.8,29.9
Cercs,2012,64.65,31.06
Cercs,2015,67.77,28.82
Cerdanyola del Vallès,1980,24.19,59.72
Cerdanyola del Vallès,1984,31.66,59.75
Cerdanyola del Vallès,1988,31.72,58.84
Cerdanyola del Vallès,1992,39.82,52.87
Cerdanyola del Vallès,1995,39.38,59.37
Cerdanyola del Vallès,1999,33.23,62.74
Cerdanyola del Vallès,2003,34.33,64.15
Cerdanyola del Vallès,2006,33.65,63.8
Cerdanyola del Vallès,2010,37.1,54.3
Cerdanyola del Vallès,2012,35.88,57.85
Cerdanyola del Vallès,2015,36.19,60.54
Cervelló,1980,48.13,28.93
Cervelló,1984,69.15,23.51
Cervelló,1988,69.01,25.04
Cervelló,1992,72.21,23.93
Cervelló,1995,65.86,33.28
Cervelló,1999,52.43,45.85
Cervelló,2003,54.87,44.05
Cervelló,2006,52.17,44.98
Cervelló,2010,51.73,39.11
Cervelló,2012,50.05,42.67
Cervelló,2015,48.19,47.98
Cervera,1980,47.38,24.26
Cervera,1984,72.37,22.31
Cervera,1988,72.51,19.3
Cervera,1992,69.01,25.06
Cervera,1995,65.42,33.94
Cervera,1999,60.19,38.21
Cervera,2003,59.72,33.25
Cervera,2006,58.65,39.85
Cervera,2010,54.44,30.57
Cervera,2012,67.07,27.24
Cervera,2015,67.12,28.77
Cervià de les Garrigues,1980,45.45,26.87
Cervià de les Garrigues,1984,70.84,25.23
Cervià de les Garrigues,1988,69.25,28.24
Cervià de les Garrigues,1992,77.32,21.09
Cervià de les Garrigues,1995,73.69,26.31
Cervià de les Garrigues,1999,71.46,26.61
Cervià de les Garrigues,2003,70.9,27.25
Cervià de les Garrigues,2006,67.71,31.33
Cervià de les Garrigues,2010,67.83,23.32
Cervià de les Garrigues,2012,76.54,17.77
Cervià de les Garrigues,2015,78.15,17.79
Cervià de Ter,1980,53.3,33.24
Cervià de Ter,1984,74.23,21.43
Cervià de Ter,1988,72.95,24.86
Cervià de Ter,1992,82.17,16.71
Cervià de Ter,1995,71.53,28.24
Cervià de Ter,1999,76.64,21.96
Cervià de Ter,2003,78.82,20.27
Cervià de Ter,2006,71.3,27.11
Cervià de Ter,2010,62.7,15.1
Cervià de Ter,2012,81.01,14.9
Cervià de Ter,2015,83.77,14.34
Cistella,1980,40.59,12.87
Cistella,1984,91.87,5.69
Cistella,1988,85.71,8.73
Cistella,1992,87.1,9.68
Cistella,1995,84.92,15.08
Cistella,1999,79.31,16.55
Cistella,2003,65.75,32.88
Cistella,2006,63.57,35
Cistella,2010,67.67,20.3
Cistella,2012,85.55,8.67
Cistella,2015,82.32,13.26
Ciutadilla,1980,62.41,17.29
Ciutadilla,1984,71.52,24.5
Ciutadilla,1988,80.13,18.54
Ciutadilla,1992,80.3,17.42
Ciutadilla,1995,75.32,24.68
Ciutadilla,1999,75.68,23.65
Ciutadilla,2003,78.34,21.66
Ciutadilla,2006,75.38,24.62
Ciutadilla,2010,75.19,19.38
Ciutadilla,2012,82.39,14.08
Ciutadilla,2015,84.11,12.58
Clariana de Cardener,1980,62.24,12.24
Clariana de Cardener,1984,84.21,12.28
Clariana de Cardener,1988,91.49,5.32
Clariana de Cardener,1992,87.78,8.89
Clariana de Cardener,1995,81.55,17.48
Clariana de Cardener,1999,77.11,22.89
Clariana de Cardener,2003,86.17,13.83
Clariana de Cardener,2006,89.16,10.84
Clariana de Cardener,2010,74.12,11.76
Clariana de Cardener,2012,93.41,4.4
Clariana de Cardener,2015,85.29,4.9
"Cogul, el",1980,53.38,31.76
"Cogul, el",1984,51.69,44.92
"Cogul, el",1988,49.52,42.86
"Cogul, el",1992,66.67,28.33
"Cogul, el",1995,68.66,31.34
"Cogul, el",1999,59.84,37.8
"Cogul, el",2003,67.41,32.59
"Cogul, el",2006,65.45,32.73
"Cogul, el",2010,67.78,24.44
"Cogul, el",2012,86.17,12.77
"Cogul, el",2015,85.45,11.82
Colera,1980,43.24,31.53
Colera,1984,48.21,49
Colera,1988,55.74,37.3
Colera,1992,70.73,27.64
Colera,1995,62.78,36.47
Colera,1999,60.56,37.58
Colera,2003,54.67,44.76
Colera,2006,59.56,38.22
Colera,2010,57.2,34.98
Colera,2012,69.11,26.64
Colera,2015,67.47,29.07
Coll de Nargó,1980,42.29,27.96
Coll de Nargó,1984,84.97,12.02
Coll de Nargó,1988,81.85,13.06
Coll de Nargó,1992,85.19,11.11
Coll de Nargó,1995,79.57,19.21
Coll de Nargó,1999,76.98,22.34
Coll de Nargó,2003,75.65,22.32
Coll de Nargó,2006,75.85,22.79
Coll de Nargó,2010,76.64,13.16
Coll de Nargó,2012,80.7,15.82
Coll de Nargó,2015,79.25,15.27
Collbató,1980,51.74,29.13
Collbató,1984,71.6,24.77
Collbató,1988,69.82,24.81
Collbató,1992,71.06,22.75
Collbató,1995,62.98,36.04
Collbató,1999,53.93,44.7
Collbató,2003,54.37,45.06
Collbató,2006,53.49,44.57
Collbató,2010,54.58,34.53
Collbató,2012,59.83,33.68
Collbató,2015,61.26,35.07
Colldejou,1980,40.7,31.4
Colldejou,1984,66.67,26.39
Colldejou,1988,76.47,21.18
Colldejou,1992,80.52,19.48
Colldejou,1995,85.15,14.85
Colldejou,1999,86.11,12.04
Colldejou,2003,88.52,11.48
Colldejou,2006,87.12,12.12
Colldejou,2010,66.67,17.5
Colldejou,2012,85.25,13.93
Colldejou,2015,90.4,8
Collsuspina,1980,70.24,10.71
Collsuspina,1984,86.36,9.09
Collsuspina,1988,84.43,11.48
Collsuspina,1992,88.98,5.51
Collsuspina,1995,86.59,13.41
Collsuspina,1999,87.86,12.14
Collsuspina,2003,80.31,18.65
Collsuspina,2006,71.35,25.15
Collsuspina,2010,67.88,16.58
Collsuspina,2012,84.83,9.95
Collsuspina,2015,87.22,9.25
Colomers,1980,40.77,32.31
Colomers,1984,71.13,26.76
Colomers,1988,74.02,18.9
Colomers,1992,74.64,18.84
Colomers,1995,74.83,24.48
Colomers,1999,68.99,29.46
Colomers,2003,65.1,33.56
Colomers,2006,55.3,41.67
Colomers,2010,59.43,33.02
Colomers,2012,78.79,16.67
Colomers,2015,89.47,9.02
"Coma i la Pedra, la",1980,38.51,2.87
"Coma i la Pedra, la",1984,85.48,11.29
"Coma i la Pedra, la",1988,84.25,11.81
"Coma i la Pedra, la",1992,88.46,11.54
"Coma i la Pedra, la",1995,85.31,13.99
"Coma i la Pedra, la",1999,86.96,12.32
"Coma i la Pedra, la",2003,78.57,20
"Coma i la Pedra, la",2006,82.95,17.05
"Coma i la Pedra, la",2010,74.62,13.08
"Coma i la Pedra, la",2012,80.25,13.58
"Coma i la Pedra, la",2015,83.98,10.5
Conca de Dalt,1980,50,25.89
Conca de Dalt,1984,83.81,9.52
Conca de Dalt,1988,75.33,17.62
Conca de Dalt,1992,72.14,25.87
Conca de Dalt,1995,66.8,32.8
Conca de Dalt,1999,59.09,39.55
Conca de Dalt,2003,65.78,34.22
Conca de Dalt,2006,68.65,30.16
Conca de Dalt,2010,59.28,27.15
Conca de Dalt,2012,80.84,15.33
Conca de Dalt,2015,86.18,12
Conesa,1980,45.28,11.32
Conesa,1984,89.55,8.96
Conesa,1988,73.24,21.13
Conesa,1992,67.8,25.42
Conesa,1995,80.6,19.4
Conesa,1999,72.86,20
Conesa,2003,82.35,17.65
Conesa,2006,81.58,14.47
Conesa,2010,30.95,26.19
Conesa,2012,85.54,12.05
Conesa,2015,84.52,11.9
Constantí,1980,34.87,40.73
Constantí,1984,32.64,57.35
Constantí,1988,32.92,58.73
Constantí,1992,37.6,55.83
Constantí,1995,37.92,60.86
Constantí,1999,37.7,57.78
Constantí,2003,44.08,54.6
Constantí,2006,45.07,52.88
Constantí,2010,41.32,48.42
Constantí,2012,36.59,57.94
Constantí,2015,31.99,64.15
Copons,1980,61.17,31.55
Copons,1984,71.05,26.84
Copons,1988,69.46,28.14
Copons,1992,69.7,24.85
Copons,1995,70.81,28.11
Copons,1999,57.49,40.12
Copons,2003,64.67,34.78
Copons,2006,60.78,35.95
Copons,2010,60.14,22.3
Copons,2012,81.28,16.04
Copons,2015,81.16,13.53
Corbera d'Ebre,1980,12.71,37.07
Corbera d'Ebre,1984,40.35,57.4
Corbera d'Ebre,1988,47.71,49.36
Corbera d'Ebre,1992,43.26,55.13
Corbera d'Ebre,1995,39.05,60.8
Corbera d'Ebre,1999,43.65,53.91
Corbera d'Ebre,2003,49.84,49.84
Corbera d'Ebre,2006,48.3,50.9
Corbera d'Ebre,2010,51.43,41.63
Corbera d'Ebre,2012,59.4,36.65
Corbera d'Ebre,2015,60.32,33.28
Corbera de Llobregat,1980,48.92,27.87
Corbera de Llobregat,1984,67.6,28.29
Corbera de Llobregat,1988,62.79,28.97
Corbera de Llobregat,1992,68.9,26.69
Corbera de Llobregat,1995,61.97,37.06
Corbera de Llobregat,1999,56.71,40.79
Corbera de Llobregat,2003,54.41,44.47
Corbera de Llobregat,2006,52.28,45
Corbera de Llobregat,2010,52.93,38.13
Corbera de Llobregat,2012,53.75,39.25
Corbera de Llobregat,2015,52.7,43.21
Corbins,1980,34.72,34.23
Corbins,1984,71.84,26.09
Corbins,1988,72.25,24.67
Corbins,1992,77.47,20.42
Corbins,1995,80.63,18.74
Corbins,1999,74.16,24.88
Corbins,2003,78.23,20.65
Corbins,2006,76.05,23.02
Corbins,2010,66.56,23.51
Corbins,2012,77.79,18.71
Corbins,2015,77.55,18.57
Corçà,1980,49.33,26.01
Corçà,1984,81.04,16.87
Corçà,1988,71.94,23.92
Corçà,1992,77.98,20.73
Corçà,1995,74.47,25.08
Corçà,1999,73.12,25.47
Corçà,2003,72.06,25.93
Corçà,2006,63.34,33.92
Corçà,2010,54.75,25.93
Corçà,2012,79.47,15.2
Corçà,2015,82.43,14.18
Cornellà de Llobregat,1980,15.35,68.54
Cornellà de Llobregat,1984,22.09,69.52
Cornellà de Llobregat,1988,21.92,69.18
Cornellà de Llobregat,1992,27.51,65.2
Cornellà de Llobregat,1995,26.83,71.89
Cornellà de Llobregat,1999,22.75,70.88
Cornellà de Llobregat,2003,24.69,73.58
Cornellà de Llobregat,2006,22.24,75.32
Cornellà de Llobregat,2010,26.67,65.6
Cornellà de Llobregat,2012,21.56,71.09
Cornellà de Llobregat,2015,21.99,75.12
Cornellà del Terri,1980,64.7,14.58
Cornellà del Terri,1984,83.6,14.77
Cornellà del Terri,1988,80.48,15.68
Cornellà del Terri,1992,83.16,13.86
Cornellà del Terri,1995,75.24,24.46
Cornellà del Terri,1999,81.92,16.18
Cornellà del Terri,2003,78.79,19.95
Cornellà del Terri,2006,72.88,24.39
Cornellà del Terri,2010,69.34,17.25
Cornellà del Terri,2012,84.44,11.52
Cornellà del Terri,2015,83.14,13.74
Cornudella de Montsant,1980,63.39,18.4
Cornudella de Montsant,1984,72.43,24.75
Cornudella de Montsant,1988,78.86,15.93
Cornudella de Montsant,1992,80.89,18.37
Cornudella de Montsant,1995,74.51,24.78
Cornudella de Montsant,1999,74.23,22.69
Cornudella de Montsant,2003,80.77,18.68
Cornudella de Montsant,2006,77.76,21.31
Cornudella de Montsant,2010,69.77,19.01
Cornudella de Montsant,2012,82.66,14.93
Cornudella de Montsant,2015,81.2,14.53
Creixell,1980,50.23,22.33
Creixell,1984,56.59,42.12
Creixell,1988,59.01,36.34
Creixell,1992,60.81,34.75
Creixell,1995,55.83,43.61
Creixell,1999,52.41,46.35
Creixell,2003,45.02,54.04
Creixell,2006,43.65,54
Creixell,2010,40.76,52.44
Creixell,2012,41.34,53.82
Creixell,2015,39.11,57.41
Crespià,1980,56.91,20.33
Crespià,1984,85.59,11.71
Crespià,1988,80.22,14.29
Crespià,1992,83.84,12.12
Crespià,1995,75.24,21.9
Crespià,1999,77.68,22.32
Crespià,2003,75.86,24.14
Crespià,2006,65.71,29.52
Crespià,2010,52.73,24.55
Crespià,2012,85.95,12.4
Crespià,2015,84.06,13.04
"Cruïlles, Monells i Sant Sadurní de l'Heura",1980,58.68,24.75
"Cruïlles, Monells i Sant Sadurní de l'Heura",1984,68.46,30.29
"Cruïlles, Monells i Sant Sadurní de l'Heura",1988,67.06,27.22
"Cruïlles, Monells i Sant Sadurní de l'Heura",1992,76.41,20.47
"Cruïlles, Monells i Sant Sadurní de l'Heura",1995,68.34,31.33
"Cruïlles, Monells i Sant Sadurní de l'Heura",1999,70.09,27.01
"Cruïlles, Monells i Sant Sadurní de l'Heura",2003,67.03,31.09
"Cruïlles, Monells i Sant Sadurní de l'Heura",2006,65.29,32.99
"Cruïlles, Monells i Sant Sadurní de l'Heura",2010,54.96,26.83
"Cruïlles, Monells i Sant Sadurní de l'Heura",2012,76.8,18.92
"Cruïlles, Monells i Sant Sadurní de l'Heura",2015,77.4,18.18
Cubelles,1980,46.61,35.85
Cubelles,1984,57.66,38.76
Cubelles,1988,56.66,34.99
Cubelles,1992,57.87,37.26
Cubelles,1995,49.16,50.05
Cubelles,1999,43.18,54.04
Cubelles,2003,42.94,55.49
Cubelles,2006,42.48,54.76
Cubelles,2010,44.04,47.84
Cubelles,2012,40.81,52.76
Cubelles,2015,39.14,57.33
Cubells,1980,46.49,7.02
Cubells,1984,80.51,18.05
Cubells,1988,88.33,9.34
Cubells,1992,91.73,7.48
Cubells,1995,87.69,12.31
Cubells,1999,82.59,17
Cubells,2003,88.85,11.15
Cubells,2006,83.63,16.37
Cubells,2010,75.88,19.3
Cubells,2012,78.42,17.84
Cubells,2015,83.2,14.4
Cunit,1980,39.42,30.45
Cunit,1984,43.04,53.92
Cunit,1988,43.38,44.22
Cunit,1992,50,45
Cunit,1995,40.62,58.58
Cunit,1999,35.7,61.51
Cunit,2003,35.55,63.43
Cunit,2006,36.13,61.8
Cunit,2010,37.93,54.44
Cunit,2012,30.96,62.98
Cunit,2015,28.29,68.15
Darnius,1980,39.27,30.77
Darnius,1984,70.3,28.2
Darnius,1988,67.02,26.6
Darnius,1992,71.79,23.44
Darnius,1995,64.26,34.17
Darnius,1999,67.52,30.23
Darnius,2003,69.66,30.34
Darnius,2006,64.68,34.2
Darnius,2010,60.64,25.7
Darnius,2012,70.57,25.53
Darnius,2015,66.77,28.35
Das,1980,71.62,4.05
Das,1984,92.41,2.53
Das,1988,86.21,10.34
Das,1992,80.49,13.41
Das,1995,79.17,20.83
Das,1999,75.28,19.1
Das,2003,84.76,14.29
Das,2006,81.19,17.82
Das,2010,74.17,7.5
Das,2012,83.33,13.04
Das,2015,82.35,13.24
Deltebre,1980,12.83,54.9
Deltebre,1984,53.39,43.88
Deltebre,1988,55.65,40.07
Deltebre,1992,61.32,37.19
Deltebre,1995,59.09,40.76
Deltebre,1999,57.66,41.46
Deltebre,2003,57.07,42.17
Deltebre,2006,56.08,41.03
Deltebre,2010,57.16,36.93
Deltebre,2012,65.68,30.12
Deltebre,2015,70.26,27.09
Dosrius,1980,75.27,9.62
Dosrius,1984,89.71,8.61
Dosrius,1988,83.65,14.26
Dosrius,1992,75.85,20.44
Dosrius,1995,61.62,37.41
Dosrius,1999,59.58,38.09
Dosrius,2003,54.23,44.14
Dosrius,2006,48.39,47.72
Dosrius,2010,52.51,38.69
Dosrius,2012,50.99,43.14
Dosrius,2015,50.15,46.59
Duesaigües,1980,52.5,21.67
Duesaigües,1984,70.87,22.83
Duesaigües,1988,67.59,26.85
Duesaigües,1992,80.15,16.79
Duesaigües,1995,74.29,23.57
Duesaigües,1999,84.55,15.45
Duesaigües,2003,78.72,20.57
Duesaigües,2006,62.24,36.36
Duesaigües,2010,66.9,24.83
Duesaigües,2012,73.72,21.15
Duesaigües,2015,78.7,19.53
"Escala, l'",1980,43.9,39.67
"Escala, l'",1984,66.51,29.11
"Escala, l'",1988,60.9,32.15
"Escala, l'",1992,67.13,27.52
"Escala, l'",1995,60.51,38.61
"Escala, l'",1999,62.82,34.92
"Escala, l'",2003,56.46,41.92
"Escala, l'",2006,53.57,44.23
"Escala, l'",2010,52.58,36.35
"Escala, l'",2012,62.55,33.17
"Escala, l'",2015,63.57,33.99
Esparreguera,1980,41.33,41.89
Esparreguera,1984,43.92,51.28
Esparreguera,1988,42.07,51.47
Esparreguera,1992,50.55,44.39
Esparreguera,1995,49.32,49.53
Esparreguera,1999,45.19,51.81
Esparreguera,2003,43.89,54.79
Esparreguera,2006,43.04,54.08
Esparreguera,2010,45.85,42.7
Esparreguera,2012,43.45,47.68
Esparreguera,2015,42.77,53.43
Espinelves,1980,62.87,12.57
Espinelves,1984,82.95,10.8
Espinelves,1988,83.55,11.84
Espinelves,1992,85.27,10.08
Espinelves,1995,88.19,11.02
Espinelves,1999,79.67,19.51
Espinelves,2003,85.48,12.9
Espinelves,2006,77.19,19.3
Espinelves,2010,65.22,9.57
Espinelves,2012,80.88,10.29
Espinelves,2015,91.16,6.8
"Espluga Calba, l'",1980,38.19,20.1
"Espluga Calba, l'",1984,77.87,14.89
"Espluga Calba, l'",1988,78.16,18.45
"Espluga Calba, l'",1992,84.75,14.41
"Espluga Calba, l'",1995,82.07,17.93
"Espluga Calba, l'",1999,74.14,23.71
"Espluga Calba, l'",2003,83.45,15.83
"Espluga Calba, l'",2006,71.91,24.68
"Espluga Calba, l'",2010,69.43,17.1
"Espluga Calba, l'",2012,84.91,12.07
"Espluga Calba, l'",2015,79.09,17.11
"Espluga de Francolí, l'",1980,43.34,30.98
"Espluga de Francolí, l'",1984,67.58,29.66
"Espluga de Francolí, l'",1988,63.09,32.76
"Espluga de Francolí, l'",1992,62.27,34.29
"Espluga de Francolí, l'",1995,68.85,30.34
"Espluga de Francolí, l'",1999,69.59,28.79
"Espluga de Francolí, l'",2003,73.59,25.81
"Espluga de Francolí, l'",2006,67.76,29.65
"Espluga de Francolí, l'",2010,64.64,23.09
"Espluga de Francolí, l'",2012,75.01,20.13
"Espluga de Francolí, l'",2015,75.13,21.15
Esplugues de Llobregat,1980,21.69,59.81
Esplugues de Llobregat,1984,30.56,64.73
Esplugues de Llobregat,1988,29.95,60.71
Esplugues de Llobregat,1992,35.87,58.49
Esplugues de Llobregat,1995,34.39,64.37
Esplugues de Llobregat,1999,28.84,67.93
Esplugues de Llobregat,2003,30.93,67.36
Esplugues de Llobregat,2006,32.12,65.39
Esplugues de Llobregat,2010,34.97,57.25
Esplugues de Llobregat,2012,30.25,63.6
Esplugues de Llobregat,2015,29.61,66.59
Espolla,1980,66.81,12.39
Espolla,1984,86.4,12.8
Espolla,1988,77.33,19.11
Espolla,1992,80.25,16.81
Espolla,1995,80.4,19.6
Espolla,1999,85,15
Espolla,2003,73.23,26.38
Espolla,2006,65.73,33.87
Espolla,2010,61.07,28.28
Espolla,2012,76.09,22.46
Espolla,2015,73.61,22.3
Esponellà,1980,73.05,6.59
Esponellà,1984,88.83,8.74
Esponellà,1988,85.2,6.12
Esponellà,1992,89.3,10.16
Esponellà,1995,78.44,21.1
Esponellà,1999,81.94,17.59
Esponellà,2003,73.23,25.59
Esponellà,2006,65.79,28.95
Esponellà,2010,67.25,12.66
Esponellà,2012,87.94,10.12
Esponellà,2015,86.48,8.9
Espot,1980,47.62,13.1
Espot,1984,93.81,4.42
Espot,1988,4.8,5.6
Espot,1992,85.83,11.67
Espot,1995,80,19.33
Espot,1999,72.62,27.38
Espot,2003,73.06,25.91
Espot,2006,67.86,30.36
Espot,2010,71.43,23.6
Espot,2012,82.11,16.32
Espot,2015,80.47,13.49
"Espunyola, l'",1980,59.02,19.67
"Espunyola, l'",1984,88.14,11.86
"Espunyola, l'",1988,84.66,12.88
"Espunyola, l'",1992,90.54,8.11
"Espunyola, l'",1995,78.42,21.58
"Espunyola, l'",1999,83.46,15.79
"Espunyola, l'",2003,80.36,19.05
"Espunyola, l'",2006,75.64,23.08
"Espunyola, l'",2010,70.73,14.02
"Espunyola, l'",2012,85.89,9.2
"Espunyola, l'",2015,88.2,8.99
"Esquirol, l'",1980,58.49,22.75
"Esquirol, l'",1984,82.58,10.71
"Esquirol, l'",1988,82.79,13.64
"Esquirol, l'",1992,90.5,7.45
"Esquirol, l'",1995,84.06,15.54
"Esquirol, l'",1999,83.26,14.71
"Esquirol, l'",2003,81.46,17.89
"Esquirol, l'",2006,73.21,24.19
"Esquirol, l'",2010,67.36,14.7
"Esquirol, l'",2012,87.81,7.99
"Esquirol, l'",2015,92.13,6
Estamariu,1980,53.66,4.88
Estamariu,1984,87.5,10.42
